pdf_filename,profile,heuristic_score,profile_group,quality_tier,resource_class,status,runtime_seconds,pipeline,pdf_backend,ocr_engine,psm,do_cell_matching,table_count,tables_with_rows,total_rows,total_columns_sum,max_columns,max_rows,empty_cell_ratio,single_column_table_count,very_small_table_count,inspection_path,run_dir
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_pypdfium2_cellmatch_false,350.6277,native_text,strong,high,success,16.258,standard,pypdfium2,,,False,10,10,108,60,8,47,0.0426,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_pypdfium2_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_no_ocr_doclingparse_cellmatch_false,349.588,native_text,strong,high,success,18.392,standard,docling_parse,,,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_no_ocr_doclingparse_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_accurate_cellmatch_false,349.5865,cell_matching,strong,high,success,18.702,standard,,,,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_accurate_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_cuda_accurate_cellmatch_false,349.5836,gpu_performance,heavy,high,success,19.29,standard,,,,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_cuda_accurate_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_easyocr_force_ocr_cellmatch_false,349.5264,cell_matching,heavy,high,success,30.717,standard,,easyocr,,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_easyocr_force_ocr_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm11_cellmatch_false,349.5117,cell_matching,heavy,high,success,33.661,standard,,tesseract,11.0,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm11_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_tesseract_force_ocr_psm6_cellmatch_false,349.4889,cell_matching,heavy,high,success,38.22,standard,,tesseract,6.0,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6_cellmatch_false/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_tesseract_force_ocr_psm6_cellmatch_false
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,extreme_easyocr_force_scale3_cellmatch_false_cuda,349.4777,heavy_quality,extreme,extreme,success,40.466,standard,,easyocr,,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_easyocr_force_scale3_cellmatch_false_cuda/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_easyocr_force_scale3_cellmatch_false_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,extreme_doclingparse_tesseract_force_psm6_scale3_cellmatch_false_cuda,349.4425,heavy_quality,extreme,extreme,success,47.504,standard,docling_parse,tesseract,6.0,False,10,10,108,60,8,47,0.072,1,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_doclingparse_tesseract_force_psm6_scale3_cellmatch_false_cuda/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/extreme_doclingparse_tesseract_force_psm6_scale3_cellmatch_false_cuda
MANUAL DE MARKETING NASTIZOL MULTISINTOMAS.pdf,standard_fast_no_ocr,342.2362,native_text,baseline,low,success,34.752,standard,,,,True,10,10,72,61,8,22,0.034,0,0,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_fast_no_ocr/inspection.md,/content/ConversionExperiments/outputs/docling_ablation_full_20260626_201723/MANUAL DE MARKETING NASTIZOL MULTISINTOMAS/standard_fast_no_ocr
